Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
SIGNALS - 5€ Tickets - with DJ Henk,2025-12-17T00:00:00.000,2025-12-17T23:00:00.000,2025-12-18T06:00:00.000,"wae.wav, DJ Henk, MIMI404, e.leptic, KVKN",Lokschuppen Berlin,,52.5366075,13.3416455,/events/2285099,352
SYMBIOTIKKA GODDESSES at KitKat Club,2025-12-17T00:00:00.000,2025-12-17T20:00:00.000,2025-12-18T07:00:00.000,"STELLA BOSSI, Anna Tur, LOVRA, Stuckeyrella, maniaclina, Anna Sué, Erica (IT), Charlotte Lion, RHAPSODIE, Alexa Fluor",KitKatClub,,52.5112074,13.4169157,/events/2291611,127
ＬＩＬＩＴＨ✦ 5€ ENTRY*,2025-12-17T00:00:00.000,2025-12-17T23:00:00.000,2025-12-18T08:00:00.000,"Dj Fugitive, The Camel",ÆDEN,,52.497313,13.4495159,/events/2259855,436
Tresor New Faces hosted by In Balance,2025-12-17T00:00:00.000,2025-12-17T23:00:00.000,2025-12-18T08:00:00.000,"Artifex (DE), Fabian Kienzler, Schicktanz, Miss Italia",Tresor / Globus,,,,/events/2294829,111
TECHNO MITTWOCH: TAKE YOUR FREE TICKET ,2025-12-17T00:00:00.000,2025-12-17T23:00:00.000,2025-12-18T08:00:00.000,"PETDuo, J.A.S, KERT (DE)",AVA Club,,52.5029373,13.4473091,/events/2281345,129
OCD: The beginning,2025-12-17T00:00:00.000,2025-12-17T22:00:00.000,2025-12-18T06:00:00.000,"Bonnie Spacey, Clovis, Nonnus",Prisma,,52.4962625,13.4194868,/events/2312415,91
OPEN DECKS FOR FLINTA* - PING PONG FOR ALL,2025-12-17T00:00:00.000,2025-12-17T19:00:00.000,2025-12-18T03:00:00.000,,Crack Bellmer,,52.5075865,13.4547707,/events/2306944,17
Vinyl Voyage,2025-12-17T00:00:00.000,2025-12-17T19:00:00.000,2025-12-18T02:00:00.000,"Felipe G, Don Andres, Tuete",Mom's Limousine Service,,,,/events/2318075,12
Berlin Kink,2025-12-17T00:00:00.000,2025-12-17T20:00:00.000,2025-12-18T02:00:00.000,,Insomnia,,52.4655581,13.3860876,/events/2304849,6
mittendrin mit Skinny Duchamp (FREE ENTRY),2025-12-17T00:00:00.000,2025-12-17T18:00:00.000,2025-12-18T04:00:00.000,Skinny Duchamp,Minimal Bar,,52.5164827,13.4639097,/events/2293514,5
Metempsyco,2025-12-17T00:00:00.000,2025-12-17T20:00:00.000,2025-12-18T02:00:00.000,"Fuunkt, Funken",Lauschangriff,,52.5182491,13.4553049,/events/2326508,5
Sky-Bar Warmup - HipHop Soul Disco,2025-12-17T00:00:00.000,2025-12-17T19:00:00.000,2025-12-18T01:00:00.000,,Solar,,52.5043141,13.3836872,/events/2309016,3
MissVergnügen presents Pastor Leumund - live,2025-12-17T00:00:00.000,2025-12-17T21:00:00.000,2025-12-18T04:00:00.000,MissVergnügen,Eschschloraque,,52.5244696,13.4017208,/events/2297054,0
Producers to the front,2025-12-17T00:00:00.000,2025-12-17T18:00:00.000,2025-12-17T23:00:00.000,"Pooja B, Kritzkom, akshaysic",Ikii,,,,/events/2328182,2
SIRENES,2025-12-17T00:00:00.000,2025-12-17T23:00:00.000,2025-12-18T05:00:00.000,"Miura, Eva Selezneva, Sarah Wild, LACATY",Phantom Bar Berlin,,52.5270872,13.3879283,/events/2328766,2
