title,url,address,description,detailed_date,lat,lon
"Lux Filmpreis Filmvorführungen 2026, 4 neue Filme, spontan hingehen möglich",https://www.gratis-in-berlin.de/heute/item/2076240-lux-filmpreis-filmvorfuehrungen-2026-4-neue-filme-spontan-hingehen-moeglich,Kantstraße  10 10623 Berlin,,Donnerstag 18.12.2025 bis Freitag 19.12.2025									   - Anfangszeit: :00 Uhr,52.5055492,13.3300244
Dokumentartheater Berlin,https://www.gratis-in-berlin.de/heute/item/2076399-dokumentartheater-berlin,Otto Suhr Allee 100 10997 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 19:00 Uhr",52.5175816,13.3088014
"""PostArt Winter Show"" - Wintermode & Kunstmarkt",https://www.gratis-in-berlin.de/heute/item/2076369-postart-winter-show-wintermode-kunstmarkt,Schustehrusstraße 47 10585 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 19:00 Uhr",52.5168135,13.2971101
Musethica-Konzert mit Suyeon Kang und Fiori Quartett: Eintritt frei,https://www.gratis-in-berlin.de/heute/item/2075490-musethica-konzert-mit-suyeon-kang-und-fiori-quartett-eintritt-frei,10178 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: : Uhr",52.520286,13.4047307
Weihnachtsmarkt Bölschestraße Friedrichshagen,https://www.gratis-in-berlin.de/heute/item/2076423-weihnachtsmarkt-boelschestrasse-friedrichshagen,Bölschestr.  12587  Berlin,,Freitag 19.12.2025 bis Sonntag 21.12.2025									   - Anfangszeit: :00 Uhr,52.4491063,13.6245211
Erzählbühne in der KulturMarktHalle,https://www.gratis-in-berlin.de/heute/item/2076400-erzaehlbuehne-in-der-kulturmarkthalle,Hanns,,"Freitag 19.12.2025									  
											 - Anfangszeit: 19:30 Uhr",49.4187729,7.5635693
"Shabby Comedy! Stand up im Comedy Club ""Mad Monkey Room"" ! Prenzlauer Berg direkt Ubhf Eberswalderstr. 20 Uhr",https://www.gratis-in-berlin.de/heute/item/2038241-shabby-comedy-stand-up-im-neuen-mad-monkey-room-prenzlauer-berg-direkt-ubhf-eberswalderstr-20-uhr,Danziger Str 1 10435 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 20:00 Uhr",52.5410547,13.4130799
Midnight Video Art im Kino Babylon,https://www.gratis-in-berlin.de/heute/item/2005667-midnight-video-art-im-kino-babylon,Rosa,,"Freitag 19.12.2025									  
											 - Anfangszeit: 23:59 Uhr",42.7309763,2.0702087
"Mitmach-Ausstellung: Kitsch, Camp, Kunst (Finissage + Dragshow)",https://www.gratis-in-berlin.de/heute/item/2076348-mitmach-ausstellung-kitsch-camp-kunst-finissage-dragshow,Biesentaler Straße 24 13359 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 19:00 Uhr",52.5574665,13.3861031
Musikcafé,https://www.gratis-in-berlin.de/heute/item/2076332-musikcafe,Müllerstraße 56,,"Freitag 19.12.2025									  
											 - Anfangszeit: :15 Uhr",52.5538414,13.3464866
Queer Cronies in der Isotop - Bar,https://www.gratis-in-berlin.de/heute/item/2076211-queer-cronies-in-der-isotop-bar,Pohlstraße 64 10785 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 20:00 Uhr",52.5014222,13.3620801
Lo-Fi Synth/Punk @ Peppi: I Hate The Bouncers,https://www.gratis-in-berlin.de/heute/item/2076004-lo-fi-synth-punk-peppi-i-hate-the-bouncers,Weichselstrasse 7 12043 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 20:00 Uhr",52.4842382,13.4330943
Potsdamer Schokoladenmarkt,https://www.gratis-in-berlin.de/heute/item/2076294-potsdamer-schokoladenmarkt,Am Alten Markt 14467 Potsdam,,Freitag 05.12.2025 bis Sonntag 21.12.2025									   - Anfangszeit: 12:00 Uhr,52.3972298,13.0611343
Weihnachtssingen im Eisstadion,https://www.gratis-in-berlin.de/heute/item/2040410-weihnachtssingen-im-eisstadion,Fritz,,"Freitag 19.12.2025									  
											 - Anfangszeit: 18:00 Uhr",52.3901034,13.1215604
"Das Romanische Café im Stil der 20er (Fr, Sa & Adventssonntage)",https://www.gratis-in-berlin.de/heute/item/2065322-das-romanische-cafe-im-stil-der-20er-fr-sa-adventssonntage,Tauentzienstraße  9 10787 Berlin,,Samstag 06.01.2024 bis Sonntag 21.12.2025									   - Anfangszeit: 13:00 Uhr,52.504856,13.337072
Bücherfrühstück in der Bezirkszentralbibliothek Tempelhof,https://www.gratis-in-berlin.de/heute/item/2074446-buecherfruehstueck-in-der-bezirkszentralbibliothek-tempelhof,Götzstr. 8,,"Freitag 19.12.2025									  
											 - Anfangszeit: 10:00 Uhr",51.5024231,11.9954798
"Shabby Comedy Lateshow! Stand up im ""Mad Monkey Room""! In Prenzl Berg direkt Ubhf Eberswalderstr. 22:30 Uhr",https://www.gratis-in-berlin.de/heute/item/2048972-shabby-comedy-lateshow-stand-up-im-mad-monkey-room-in-prenzl-berg-direkt-ubhf-eberswalderstr-22-30-uhr,Danziger Str 1 10435 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 22:30 Uhr",52.5410547,13.4130799
Kinderwagenkino für Eltern mit Babys,https://www.gratis-in-berlin.de/heute/item/2076246-kinderwagenkino-fuer-eltern-mit-babys,Badstraße 39 13357 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 11:00 Uhr",52.553614,13.3794962
Avant Post @ Eschschloraque,https://www.gratis-in-berlin.de/heute/item/2076202-avant-post-eschschloraque,Rosenthaler strasse 39 10178 Berlin,,"Freitag 19.12.2025									  
											 - Anfangszeit: 21:00 Uhr",52.5244928,13.4019195
Erzähltheater für Kinder - Mit Kathleen Rappolt (einzelne Termine),https://www.gratis-in-berlin.de/heute/item/2075990-erzaehltheater-fuer-kinder-mit-kathleen-rappolt-einzelne-termine,Berlin,,Freitag 28.11.2025 bis Samstag 20.12.2025									   - Anfangszeit: 16:30 Uhr,52.5173885,13.3951309
Heckmann Höfe Pop-Up Christmas Market,https://www.gratis-in-berlin.de/heute/item/2076314-heckmann-hoefe-pop-up-christmas-market,Oranienburger Str. 32 10117 Berlin,,Mittwoch 10.12.2025 bis Sonntag 21.12.2025									   - Anfangszeit: :00 Uhr,52.5255763,13.3939581
