Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
Sachsentrance Harte Bescherung,2025-12-20T00:00:00.000,2025-12-20T23:59:00.000,2025-12-21T10:00:00.000,"Paraçek, Noise Mafia, DJ Tallboy, The Jakob Sister, RaverPik, HOTBOI2300, Sabu!",OXI,,52.5076121,13.4749435,/events/2279770,1156
BERLIN FINEST - w/ Ben Techy and FRIENDS ,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-21T10:00:00.000,"Ben Techy, BAIRD, Brtinzz, Chemtrailz, Sopik, Arweenn, Monokrome, Karashò, Loren Plipki, TEØH, MMANU, RYX (1), D3VAN, Blck-Swan, H7 (3), HEMPTOTE, Pura Solenne, ZVEDRA",TBA,,52.4993694,13.3496349,/events/2038043,997
GOAT BALL pres. X-MESS ,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T09:00:00.000,"1luu, 4NOUK, A.N.I., SaltySis, ANDATA, Cobb Douglas, GNS (1), DJ Cringey, DJ DRECKISCH, DJ GUESTLIST, DJ Primitivo, DJ WASSERFALL, MIMI404, SOHOE, Stinny Stone, YOVA",Lokschuppen Berlin,,52.5366075,13.3416455,/events/2246372,1033
"VERTX x T3R x Ozelot w/ Stef Mendesidis, Ben Sims, Fireground and Coco Cobra",2025-12-20T00:00:00.000,2025-12-20T23:59:00.000,2025-12-22T08:00:00.000,"Ahmet Sisman, Felix Fleer, Nadia Struiwigh, Stef Mendesidis, Ben Sims, Fireground, Glaskin, Sanna Mun, TONI BA, Coco Cobra, O-Wells, Manuel Fischer, LEZARDS, Prioleau",RSO.BERLIN,,52.459911,13.5053346,/events/2294793,463
[8] invites Kontext at Studio1111  [2 STAGES],2025-12-20T00:00:00.000,2025-12-20T21:00:00.000,2025-12-21T08:00:00.000,"Sasha Zlykh, DJ Pipe, Courtney Bailey, So-Fi, Neue Medecina, Seviliya, Europa (1), Ewa Nomad, DEEPLY DSTRBD",Studio1111,,,,/events/2304476,345
"TITAN SESSION w./ Skryption, Pelin Vedis, Franky-B, …",2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T10:00:00.000,"Skryption, Franky-B, Pelin Vedis, TERRA TWIINS, Bildgewalt, LUV ATTACK, DJ ORDNUNGSAMT, Kizu",OST,,52.4970681,13.4650321,/events/2281162,369
BAILE TRAMA ✩ 2 CLUBS +8DJS,2025-12-20T00:00:00.000,2025-12-20T23:30:00.000,2025-12-21T06:00:00.000,"Gadutra, N3LYSTAR, SILVASURFER, VV$ (DE), JCVS",Lark,,52.5130237,13.4227766,/events/2308992,280
RANDOM NOTES x HAUSWERKS,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T07:00:00.000,"Dj handbag, Fabrizio Brancaccio, Matteo Gamba, Sciarada, Eclectic Elektra, justcallmesergio, Loves_kills, Rina Katen",ÆDEN,,52.497313,13.4495159,/events/2277796,158
"Back to Unity  Hardtrance, Techno, Hardtechno & Linientreu Revival by Kinder der Nacht",2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,"Frankyeffe, Caro van Ee, GHOST DE, DJ Jordan, Marc van Linden, Rob Robsen, Førehand, Bouras, Dave Demon, DIVISIO",Void Club,,,,/events/2231436,146
Klubnacht,2025-12-20T00:00:00.000,2025-12-20T23:59:00.000,2025-12-22T06:00:00.000,"Beatrice (DE), Chami, Dustin Zahn, Mareena, Measure Divide, Olivia Mendez, Sev Dah, Stojche",Berghain | Panorama Bar | Säule,,,,/events/2297137,139
