title,category,venue,address,date,url,lat,lon
Bernhard Moser: re(menü)szenzen - Erinnerungen eines Restaurantkritikers,Literatur,BKA,"Mehringdamm 34, 10961 Berlin",Do. 08.01,https://www.tip-berlin.de/event/literatur/1465.10096147/,52.4936405,13.3876998
Eröffnung: Vertical Horizons - Den Horizont senkrecht stellen,Ausstellung/Galerien,nüüd.berlin - Gallery,"Kronenstr. 18, 10117 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+galerien/1465.2866089588/,52.5111239,13.3910257
P.OST,Ausstellung/Andere Orte,Kunstverein am Rosa-Luxemburg-Platz,"Rosa-Luxemburg-Str. 45, 10119 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2861885959/,52.5272435,13.4103383
Eternal 20th Century,Ausstellung/Galerien,Klemm's,"Leipziger Str. 57/58, 10117 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+galerien/1465.2827985139/,52.5106135,13.3930407
Die Räuber,Bühne/Schauspiel,Deutsches Theater,"Schumannstr. 13a, 10117 Berlin",Do. 08.01,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10098525/,52.5243546,13.3819066
"Romy, la mer et la musique",Bühne/Kabarett,Renaissance-Theater,"Knesebeckstr. 100, 10623 Berlin",Do. 08.01,https://www.tip-berlin.de/event/buehne+kabarett/1465.10096212/,52.5103384,13.323503
Tanztage Berlin 2026: ratu,Bühne/Schauspiel,Sophiensaele,"Sophienstr. 18, 10178 Berlin",Do. 08.01,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10099403/,52.5258825,13.4016022
Saâdane Afif,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004901/,52.52844,13.3720386
Tanztage Berlin 2026: Did4luv / Bibingka,Bühne/Schauspiel,Sophiensaele,"Sophienstr. 18, 10178 Berlin",Do. 08.01,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10099402/,52.5258825,13.4016022
Spätschicht x Schwules Museum: Sind Penisse real?,Information,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Do. 08.01,https://www.tip-berlin.de/event/information/1465.10039220/,52.5066209,13.3819472
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Do. 08.01,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
Ulrike Ottinger: Freak Orlando,Filme,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Do. 08.01,https://www.tip-berlin.de/event/filme/1465.10039219/,52.5066209,13.3819472
Heroes: Alexander Scheer singt David Bowie,Musik/Konzert,Berliner Ensemble,"Bertolt-Brecht-Platz 1, 10117 Berlin",Do. 08.01,https://www.tip-berlin.de/event/musik+konzert/1465.10092949/,52.5221371,13.3856798
Spatzenkino,Filme,Blauer Stern Pankow,"Hermann-Hesse-Str. 11, 13156 Berlin",Do. 08.01,https://www.tip-berlin.de/event/filme/1465.2870744919/,52.5803587,13.401489
Spätschicht x Schwules Museum: Enfreakment (Homecoming),Bühne/Schauspiel,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Do. 08.01,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10039217/,52.5066209,13.3819472
Weihnachten im Tierpark,Sonstiges,Tierpark Berlin,"Am Tierpark 125, 10319 Berlin",Do. 08.01,https://www.tip-berlin.de/event/sonstiges/1465.2852859498/,52.5036353,13.5248264
On Water. WasserWissen in Berlin,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005240/,52.516714,13.4031305
I'm not here forrrrr…,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005224/,52.5066209,13.3819472
Konstellationen,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005223/,52.5066209,13.3819472
"Make a travel deep of your inside, and don’t forget me to take",Ausstellung/Andere Orte,PalaisPopulaire,"Unter den Linden 5, 10117 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005184/,52.5171465,13.3961451
Off score,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004900/,52.52844,13.3720386
"""Immer wieder muss die Welt neu gesehen werden""",Ausstellung/Museen,Brücke-Museum,"Bussardsteig 9, 14195 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005280/,52.4669327,13.2747539
Dioskuren - Der geschenkte Tag,Ausstellung/Museen,Neues Museum,"Bodestr. 1-3, 10178 Berlin",Do. 08.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005054/,52.520862,13.3982661
