title,category,venue,address,date,url,lat,lon
Weihnachtsshow 2025: Sido & Gäste,Musik/Konzert,Columbiahalle,"Columbiadamm 13-21, 10965 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853790406/,52.4847383,13.392546
Albertine Sarges + Areamanners X Ken Chic (support),Musik/Konzert,LARK,"Holzmarktstr. 15-18, 10179 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2861863638/,52.5130237,13.4227766
Japanese Tea Ceremony,Sonstiges,Samurai Museum Berlin,"Auguststr. 68, 10117 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/sonstiges/1465.2860455547/,52.5268056,13.3952399
Künstlerführung mit Christian Thoelke,Führung,Stiftung Kunstforum Berliner Volksbank,"Kaiserdamm 105, 14057 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/fuehrung/1465.10038214/,52.5101819,13.2889708
Unboxed,Führung,KW Institute for Contemporary Art,"Auguststr. 69, 10117 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/fuehrung/1465.2857477832/,52.5271636,13.3948218
Weihnachts-Basar des Förderkreises Eine Welt im Auswärtigen Amt e. V.,Sonstiges,Auswärtiges Amt,"Werderscher Markt 1, 10117 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/sonstiges/1465.2859397231/,52.5158853,13.3975006
Quartett zum Quadrat,Bühne/Schauspiel,Radialsystem,"Holzmarktstr. 33, 10243 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10097857/,52.5103674,13.4286199
10 Jahre Unter meinem Bett-Jubiläumsshow,Musik/Konzert,Kesselhaus,"Knaackstr. 97, 10435 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2858976958/,52.5402922,13.4140783
Friendly Capitalism Lounge Vol. 22,Ausstellung/Andere Orte,Galerie Neurotitan,"Rosenthaler Str. 39, 10178 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2858057088/,52.5244928,13.4019195
Ein besinnlicher Adventstag im Museum,Sonstiges,Museum Europäischer Kulturen,"Arnimallee 25, 14195 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/sonstiges/1465.10038828/,52.455519,13.2926911
"Berliner Philharmoniker, Ltg. Jordi Savall",Musik/Klassik,Philharmonie,"Herbert-von-Karajan-Str. 1, 10785 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+klassik/1465.10094895/,52.5099888,13.3696059
Berlin Chili Fest : Spicy Christmas Market,Handel/Markt,Kalle Halle,"Karl-Marx-Str. 101, 12043 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2861885972/,52.4795713,13.437379
Bonsai Kitten + Lion's Skull,Musik/Konzert,Wild At Heart,"Wiener Str. 20, 10999 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2857239845/,52.4973055,13.4304753
Umwelt- und Weihnachtsmarkt in der Sophienstraße,Handel/Markt,Sophienkirche Mitte,"Große Hamburger Str. 31, 10115 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2356536240/,52.5255879,13.3990178
Remake,Bühne/Schauspiel,Sophiensaele,"Sophienstr. 18, 10178 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10098237/,52.5258825,13.4016022
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
Hawkins Christmas Market – Stranger Things Weihnachtsmarkt in Berlin,Handel/Markt,Pop Kudamm,"Kurfürstendamm 229, 10719 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2860675418/,52.5036757,13.3322146
Advent im Park,Sonstiges,Naturpark Schöneberger Südgelände,"Prellerweg 47-49, 12157 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/sonstiges/1465.2858976966/,52.4599153,13.3582043
Crippled Symmetries – Berlin Prologue | Patterns in Contemporary Music: Ensemble KNM Berlin,Musik/Klassik,Villa Elisabeth,"Invalidenstr. 3, 10115 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+klassik/1465.2857477735/,52.5330987,13.3972033
F*CK THE INTERNET: Design Market,Handel/Markt,GlogauAIR,"Glogauer Str. 16, 10969 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2861618415/,52.4922422,13.4359988
Herman van Veen - Achtzig,Musik/Konzert,Admiralspalast,"Friedrichstr. 101-102, 10117 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.10089465/,52.5207913,13.38835
Kunsthandwerklicher Weihnachtsmarkt Frohnau,Ausstellung/Andere Orte,Zeltinger Platz,"Zeltinger Platz, 13465 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2856768031/,52.6332195,13.2907602
Villazauber,Handel/Markt,Schwartzsche Villa,"Grunewaldstr. 55, 12165 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2853536555/,52.4569257,13.3194006
Weihnachtsmarkt „Lichterglanz im Tannenwald“,Handel/Markt,Späth'sche Baumschulen,"Späthstr. 80-81, 12437 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2849392102/,52.4531644,13.47227
20 Jahre Revolverheld,Musik/Konzert,Uber Eats Music Hall,"Uber Platz 2, 10243 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853766984/,52.5055537,13.4434752
Bei aller Liebe,Bühne/Kabarett,Wühlmäuse,"Pommernallee 2-4, 14052 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/buehne+kabarett/1465.10086805/,52.5088651,13.2707514
Little Lemon Show mit e Randy,Musik/Konzert,Genezareth-Kirche,"Herrfurthpl. 14, 12049 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2862379735/,52.476987,13.4224107
Luciano,Musik/Konzert,Uber Arena,"Uber Platz 2, 10243 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853746470/,52.5055537,13.4434752
Neuhardenberger Schlossmarkt,Handel/Markt,Schloss Neuhardenberg,"Schinkelplatz, 15320 Neuhardenberg",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2852989897/,52.5956428,14.2393595
Weihnachten im Tierpark,Sonstiges,Tierpark Berlin,"Am Tierpark 125, 10319 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/sonstiges/1465.2852859498/,52.5036353,13.5248264
HIVE pres. Odymel & Friends *ALL NIGHT LONG*,Musik/Party,DSTRKT,"Storkower Str. 123, 10407 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+party/1465.2862141561/,52.5354437,13.4532774
On Water. WasserWissen in Berlin,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005240/,52.516714,13.4031305
Radical Christmas Market,Ausstellung/Andere Orte,Manifesto Markthalle,"Alte Potsdamer Str. 7, 10785 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2859859175/,52.5074122,13.3741147
