title,category,venue,address,date,url,lat,lon
Krimitag 2025,Sonstiges,Philipp-Melanchthon-Kirche,"Kranoldstr. 16, 12051 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/sonstiges/1465.2861590838/,52.4658142,13.4336799
"Nothing, Nowhere + Sace6",Musik/Konzert,Metropol,"Nollendorfpl. 5, 10777 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853790472/,52.4989399,13.3527048
Radiohead,Musik/Konzert,Uber Arena,"Uber Platz 2, 10243 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/musik+konzert/1465.2857477769/,52.5055537,13.4434752
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
The Wedding Present,Musik/Konzert,Lido,"Cuvrystr. 7, 10997 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/musik+konzert/1465.2855837365/,52.4991046,13.4451096
Weihnachtsshow 2025: Sido & Gäste,Musik/Konzert,Columbiahalle,"Columbiadamm 13-21, 10965 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853790406/,52.4847383,13.392546
On Water. WasserWissen in Berlin,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005240/,52.5167106,13.4024811
I'm not here forrrrr…,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005224/,52.5066209,13.3819472
Konstellationen,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005223/,52.5066209,13.3819472
"Make a travel deep of your inside, and don’t forget me to take",Ausstellung/Andere Orte,PalaisPopulaire,"Unter den Linden 5, 10117 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005184/,52.5171465,13.3961451
Wintermarkt Schloßplatz,Handel/Markt,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2855470143/,52.5167106,13.4024811
"""Immer wieder muss die Welt neu gesehen werden""",Ausstellung/Museen,Brücke-Museum,"Bussardsteig 9, 14195 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005280/,52.4669327,13.2747539
Das Spiel,Bühne/Schauspiel,Theater an der Parkaue,"Parkaue 29, 10367 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10072520/,52.516993,13.4772031
"Heute noch, morgen schon",Ausstellung/Museen,Nikolaikirche,"Nikolaikirchpl., 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005244/,52.5168734,13.4075394
Käthe Kollwitz - Stille Kraft,Ausstellung/Museen,Käthe-Kollwitz-Museum,"Spandauer Damm 10, 14059 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.2853615592/,52.5205554,13.2963595
Natur und deutsche Geschichte. Glaube - Biologie - Macht,Ausstellung/Museen,Deutsches Historisches Museum,"Unter den Linden 2, 10117 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004821/,52.5177477,13.3970225
Raoul Hausmann. Vision. Provokation. Dada.,Ausstellung/Museen,Berlinische Galerie,"Alte Jakobstr. 124-128, 10969 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004958/,52.5039063,13.3982331
Wundersame Wichtelwelt,Bühne/Schauspiel,Jaro Theater,"Schlangenbader Str. 30, 14197 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10064994/,52.4716475,13.307745
Einhorn. Das Fabeltier in der Kunst,Ausstellung/Andere Orte,Museum Barberini,"Humboldtstr. 5-6, 14467 Potsdam",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005010/,52.395233,13.0618998
Happy Demon - Leave your body like a shell - Embrace,Ausstellung/Andere Orte,rk - Galerie für zeitgenössische Kunst im Ratskeller,"Möllendorffstr. 6, 10367 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2850470825/,52.5157847,13.47984
"Jan Czajkowski, eine Gedenkfeier",Sonstiges,Volksbühne,"Rosa-Luxemburg-Platz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/sonstiges/1465.10098891/,52.5276951,13.4104868
Kunstweihnachtsbasar,Ausstellung/Galerien,Salon Halit Art,"Kreuzbergstr. 72, 10965 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+galerien/1465.2860723292/,52.4897553,13.3836344
String Constructions,Ausstellung/Andere Orte,KW Institute for Contemporary Art,"Auguststr. 69, 10117 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005212/,52.5271636,13.3948218
VINCENT: ZWISCHEN WAHN UND WUNDER,Ausstellung/Andere Orte,khroma l new media art center,"Revaler str. 99, 10245 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2860459814/,52.5064417,13.4572149
Wohnkomplex. Kunst und Leben im Plattenbau,Ausstellung/Andere Orte,Das Minsk Kunsthaus in Potsdam,"Max-Planck-Str. 17, 14473 Potsdam",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2834161749/,52.3886638,13.0641321
für uns,Ausstellung/Andere Orte,Fotografiska Berlin,"Oranienburger Str. 54, 10117 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2827184170/,52.5256724,13.3891203
42. Weihnachtsmarkt an der Gedächtniskirche,Handel/Markt,Breitscheidplatz,"Breitscheidplatz, 10789 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2856327845/,52.5049676,13.335294
Berliner Weihnachtszeit am Roten Rathaus,Handel/Markt,Rotes Rathaus,"Rathausstr. 15, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2855470002/,52.5185745,13.4081552
Berliner Wintertraum,Handel/Markt,Berliner Wintertraum,"Schnellerstr. 145, 12439 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2852989543/,52.4645931,13.4982029
Hawkins Christmas Market – Stranger Things Weihnachtsmarkt in Berlin,Handel/Markt,Pop Kudamm,"Kurfürstendamm 229, 10719 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2860675418/,52.5036757,13.3322146
Lucia Weihnachtsmarkt in der Kulturbrauerei,Handel/Markt,Kulturbrauerei,"Schönhauser Allee 36, 10435 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2852643228/,52.5394242,13.4136682
Potsdamer Weihnachtszauber,Handel/Markt,Luisenplatz Potsdam,"Luisenplatz, 14471 Potsdam",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2855140773/,52.399019,13.0474584
Spandauer Winterland,Handel/Markt,Altes Postgelände,"Klosterstr. 38, 13581 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2855188945/,52.5334839,13.1996139
Weihnachts-Biergarten,Handel/Markt,Prater,"Kastanienallee 7–9, 10437 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2858977018/,52.5402446,13.4095113
WeihnachtsZauber Gendarmenmarkt,Handel/Markt,Gendarmenmarkt,", 10117 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2854015437/,52.5175184,13.3877686
Weihnachtsmarkt am Alexanderplatz,Handel/Markt,Alexanderplatz,"Alexanderplatz 1, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2597168270/,52.5215059,13.4123809
Weihnachtsmarkt am KaDeWe,Handel/Markt,Wittenbergplatz,"Wittenbergplatz, 10789 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.2854198339/,52.5017976,13.3430005
Weihnachtsmarkt am Schloss Charlottenburg,Handel/Markt,Schloss Charlottenburg,"Spandauer Damm 20–22, 14059 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/handel+markt/1465.10030669/,52.518331,13.2802071
Singularity,Musik/Party,Tresor Club,"Köpenicker Str. 70, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/musik+party/1465.2855470038/,52.5106807,13.419484
"""Wenn ich König*in wäre..."" Junge Visionen aus Neukölln",Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005349/,52.5167106,13.4024811
Alles unter dem Himmel. Harmonie in der Familie und im Staat,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005316/,52.5167106,13.4024811
An das wir uns festhalten,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005319/,52.5167106,13.4024811
Andrea Chenier letzte Vorstellung,Bühne/Oper,Deutsche Oper,"Bismarckstr. 35, 10627 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/buehne+oper/1465.10095268/,52.5121441,13.3083771
Beziehungsweise Familie,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005210/,52.5167106,13.4024811
Die Legende vom Prinzen Vishvantara: Grenzenlose Freigebigkeit,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005293/,52.5167106,13.4024811
Ein wenig Licht. Und diese Ruhe.,Bühne/Schauspiel,Berliner Ensemble,"Bertolt-Brecht-Platz 1, 10117 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10094844/,52.5221371,13.3856798
Familie und Religion,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005291/,52.5167106,13.4024811
Krach & Keks,Bühne/Schauspiel,Theater Morgenstern im Rathaus Friedenau,"Rheinstr. 1, 12159 Berlin",Mon. 08.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10097273/,52.472713,13.3360377
