title,url,address,lat,lon
"24 Stunden Vorführungen von ""The Clock"" in Neuer Nationalgalerie",https://www.gratis-in-berlin.de/heute/item/2076184-24-stunden-vorfuehrungen-von-the-clock-in-neuer-nationalgalerie,Potsdamer Str. 50 10785  Berlin,52.5070409,13.3676212
Kunst im Karton 1/2,https://www.gratis-in-berlin.de/heute/item/2076119-kunst-im-karton-1-2,Gerichtstraße 12/13 13347 Berlin,52.5445515,13.3767784
Filmvorführung: Kein Land für niemand,https://www.gratis-in-berlin.de/heute/item/2076207-filmvorfuehrung-kein-land-fuer-niemand,Florastraße 84 13187 Berlin,52.5658206,13.400215
Weihnachtsbasar im Auswärtigen Amt,https://www.gratis-in-berlin.de/heute/item/2023777-weihnachtsbasar-im-auswaertigen-amt,Werderscher Markt  1 10117 Berlin Germany,52.5139807,13.3998494
Weihnachten am THF - Wintermarkt,https://www.gratis-in-berlin.de/heute/item/2070308-weihnachten-am-thf-wintermarkt,Tempelhofer Damm 45 12101 Berlin,52.4780881,13.3861638
Alt-Rixdorfer Weihnachtsmarkt am Richardplatz,https://www.gratis-in-berlin.de/heute/item/2023968-alt-rixdorfer-weihnachtsmarkt-am-richardplatz,Richardplatz 12055 Berlin Germany,52.4742125,13.445722
Werwolf-Spieleabend in Lichtenberg,https://www.gratis-in-berlin.de/heute/item/2076259-werwolf-spieleabend-in-lichtenberg,Herzbergstraße 84 10365 Berlin,52.5265782,13.5029394
Was bei Regen unternehmen oder Kälte? Außergewöhnliche Museen und Ausstellungen (aktualisiert),https://www.gratis-in-berlin.de/heute/item/2011400-was-bei-regen-unternehmen-oder-kaelte-aussergewoehnliche-museen-und-ausstellungen-aktualisiert,Berlin,52.5173885,13.3951309
Shabby Comedy Earlyshow! Stand up im “Mad Monkey Room” ! Prenzlauer Berg direkt Ubhf Eberswalderstr! 18 Uhr,https://www.gratis-in-berlin.de/heute/item/2053545-shabby-comedy-stand-up-im-comedy-club-mad-monkey-room-prenzlauer-berg-direkt-ubhf-eberswalderstr-18-uhr,Danziger Str 1 10435 Berlin,52.5410547,13.4130799
"Shabby Comedy! Stand up im Comedy Club ""Mad Monkey Room"" ! Prenzlauer Berg direkt Ubhf Eberswalderstr. 20 Uhr",https://www.gratis-in-berlin.de/heute/item/2038241-shabby-comedy-stand-up-im-neuen-mad-monkey-room-prenzlauer-berg-direkt-ubhf-eberswalderstr-20-uhr,Danziger Str 1 10435 Berlin,52.5410547,13.4130799
"Shabby Comedy Lateshow! Stand up im ""Mad Monkey Room""! In Prenzl Berg direkt Ubhf Eberswalderstr. 22:30 Uhr",https://www.gratis-in-berlin.de/heute/item/2048972-shabby-comedy-lateshow-stand-up-im-mad-monkey-room-in-prenzl-berg-direkt-ubhf-eberswalderstr-22-30-uhr,Danziger Str 1 10435 Berlin,52.5410547,13.4130799
"""PostArt Winter Show"" - Vernissage der Kunstausstellung & Kunstmarkts",https://www.gratis-in-berlin.de/heute/item/2076208-postart-winter-show-vernissage-der-kunstausstellung-kunstmarkts,Schustehrusstraße 47 10585 Berlin,52.5168135,13.2971101
Winterbasar - handgemacht und herzenswarm,https://www.gratis-in-berlin.de/heute/item/2076250-winterbasar-handgemacht-und-herzenswarm,Urbanstraße 21 10961 Berlin,52.4929721,13.4075946
Theaterworkshop und interkultureller Austausch für Frauen,https://www.gratis-in-berlin.de/heute/item/2076235-theaterworkshop-und-interkultureller-austausch-fuer-frauen,Rheinstraße 45 12161 Berlin,52.4660503,13.3314034
Feuer und Flamme für das SEZ,https://www.gratis-in-berlin.de/heute/item/2076225-feuer-und-flamme-fuer-das-sez,Landsberger Allee  77 10249 Berlin,52.526392,13.4467771
Jonas Poppe & Holly Hunted,https://www.gratis-in-berlin.de/heute/item/2076197-jonas-poppe-holly-hunted,Rosenthaler Strasse 39 10178 Berlin,52.5244928,13.4019195
