Clubname;Adresse;Koordinaten;Link
Berghain | Panorama Bar | Säule;"70 Am Wriezener Bahnhof; Friedrichshain; 10243 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/5031
Tresor / Globus;"Köpenickerstrasse 70; Mitte; 10179 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/5494
://about blank;Markgrafendamm 24c, 10245 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/28354
Renate;"Alt Stralau 70; Friedrichshain; 10245 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/8556
RSO.BERLIN;Schnellerstrasse 137, 12439 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/185172
KitKatClub;"Köpenicker Strasse 76; Mitte; 10179 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/10546
Ritter Butzke;"Ritterstrasse 26; Kreuzberg; 10969 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/6950
Lokschuppen Berlin;Warschauer Brücke, Revaler Straße 99 Zugang über, 10245 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/17071
Kater;Holzmarktstrasse 25, 10243 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/99161
OST;Alt-Stralau, 1-2 Friedrichshain 10245;Nicht in Liste verfügbar;https://ra.co/clubs/141987
.exe archive;Allerstrasse 16;Nicht in Liste verfügbar;https://ra.co/clubs/277871
:Vorwien;Skalitzer Strasse 41, 10997 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/142467
[F.U.C] Ministerium;187 Frankfurter Allee, Friedrichshain, 10247, Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/45446
[ipsə];"Vor dem Schlesischen Tor 2a; Kreuzberg; 10997 Berlin";Nicht in Liste verfügbar;https://ra.co/clubs/90981
[ofen] BAR;Hobrechtstraße 35, 12047 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/126179
+4bar;"Köpenickerstrasse 70; Mitte, 10179 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/73169
0punkt;Sophia Charlottenstrasse 15, 14169;Nicht in Liste verfügbar;https://ra.co/clubs/263510
1 Stralau;Alt-Stralau 1, 10245 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/136975
100 Gramm Bar;Weinbergsweg 25, 10119, Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/164989
