title,category,venue,address,date,url,lat,lon
Eröffnung: Moyra Davey,Ausstellung/Andere Orte,n.b.k.,"Chausseestr. 128-129, 10115 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2860323292/,52.5279121,13.3860465
Eröffnung: Eva Arnold,Ausstellung/Andere Orte,f³ - freiraum für fotografie,"Prinzessinnenstr. 30, 10969 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2860459773/,52.5015053,13.4141307
F*CK THE INTERNET: Design Market,Handel/Markt,GlogauAIR,"Glogauer Str. 16, 10969 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/handel+markt/1465.2861618415/,52.4922422,13.4359988
Weihnachten im Tierpark,Sonstiges,Tierpark Berlin,"Am Tierpark 125, 10319 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/sonstiges/1465.2852859498/,52.5036353,13.5248264
Hummpa Weihnachtszirkus: Die Wallerts,Musik/Konzert,SO36,"Oranienstr. 190, 10999 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/musik+konzert/1465.2855837338/,52.5003909,13.4221612
Friendly Capitalism Lounge Vol. 22 – Vernissage,Kunst-Aktion,Galerie Neurotitan,"Rosenthaler Str. 39, 10178 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/kunst-aktion/1465.2857045861/,52.5244928,13.4019195
Hawkins Christmas Market – Stranger Things Weihnachtsmarkt in Berlin,Handel/Markt,Pop Kudamm,"Kurfürstendamm 229, 10719 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/handel+markt/1465.2860675418/,52.5036757,13.3322146
Weihnachts-Basar des Förderkreises Eine Welt im Auswärtigen Amt e. V.,Sonstiges,Auswärtiges Amt,"Werderscher Markt 1, 10117 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/sonstiges/1465.2859397231/,52.5158853,13.3975006
"Berliner Philharmoniker, Ltg. Jordi Savall",Musik/Klassik,Philharmonie,"Herbert-von-Karajan-Str. 1, 10785 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/musik+klassik/1465.10094895/,52.5099888,13.3696059
Quartett zum Quadrat,Bühne/Schauspiel,Radialsystem,"Holzmarktstr. 33, 10243 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10097857/,52.5103674,13.4286199
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
Ultrasound: Lorde + The Japanese House,Musik/Konzert,Max-Schmeling-Halle,"Am Falkplatz 1, 10437 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853784225/,52.545836,13.4061087
